transaction_id,timestamp,sender_account,receiver_account,amount,currency,transaction_type,ip_country,device_id,ip_address,beneficiary_id,geo_lat,geo_lon
UP-2001,2026-03-15T09:00:00,ACC-9001,ACC-1200,245,USD,transfer,US,DEV-9001-A,10.90.1.10,BEN-201,40.713,-74.006
UP-2002,2026-03-15T09:00:15,ACC-9001,MULE-001,9200,USD,transfer,US,DEV-9001-B,10.90.1.21,BEN-202,40.716,-74.003
UP-2003,2026-03-15T09:00:30,ACC-9001,MULE-003,9700,USD,transfer,US,DEV-9001-B,10.90.1.21,BEN-203,40.718,-74.001
UP-2004,2026-03-15T09:00:45,ACC-9001,MULE-006,9400,USD,transfer,US,DEV-9001-B,10.90.1.21,BEN-204,40.72,-73.999
UP-2005,2026-03-15T09:01:00,ACC-9001,MULE-008,9600,USD,transfer,NG,DEV-9001-C,105.14.33.9,BEN-205,6.524,3.379
UP-2006,2026-03-15T09:01:12,MULE-001,MULE-003,9100,USD,transfer,NG,DEV-M001,105.14.33.10,BEN-206,6.526,3.381
UP-2007,2026-03-15T09:01:24,MULE-003,MULE-006,8950,USD,transfer,NG,DEV-M003,105.14.33.11,BEN-207,6.528,3.383
UP-2008,2026-03-15T09:01:38,MULE-006,CASH-001,8800,USD,transfer,NG,DEV-M006,105.14.33.12,BEN-208,6.53,3.385
UP-2009,2026-03-15T09:01:52,MULE-008,MULE-001,8700,USD,transfer,NG,DEV-M008,105.14.33.13,BEN-209,6.532,3.387
UP-2010,2026-03-15T09:02:06,MULE-003,MULE-007,5656,USD,transfer,NG,DEV-M003,105.14.33.11,BEN-210,6.534,3.389
UP-2011,2026-03-15T09:02:20,MULE-007,CASH-002,5405,USD,transfer,NG,DEV-M007,105.14.33.14,BEN-211,6.536,3.391
UP-2012,2026-03-15T09:02:35,ACC-3200,ACC-4100,118,USD,transfer,CA,DEV-3200-A,10.32.4.4,BEN-212,43.651,-79.383
